1/1 Data export from Solartopo.com:
1/1 Date;1-1-2020;dd.mm.yyyy
1/1 UTC;2;h
1/1 Longitude;6.7333;Degree
1/1 Latitude;47.7167;Degree
1/1 Altitude;420;m
1/1 Time;Zenith;Azimuth
3/1 23:15;-52.272511832927;298.66358709087
3/1 23:30;-54.435459803113;303.18091832679
3/1 23:45;-56.484693442287;308.09101363371
4/1 Data export from Solartopo.com:
4/1 Date;4-1-2020;dd.mm.yyyy
4/1 UTC;2;h
4/1 Longitude;6.7333;Degree
4/1 Latitude;47.7167;Degree
4/1 Altitude;420;m
4/1 Time;Zenith;Azimuth
4/1 0:0;-58.394388055276;313.44547728595
4/1 0:15;-60.134394353756;319.2910091892
4/1 0:30;-61.670424761655;325.66075645235
4/1 0:45;-62.965096458961;332.56224595503
4/1 1:0;-63.980220278539;339.96339712894
4/1 1:15;-64.680513764808;347.78079525413
4/1 1:30;-65.03836092876;355.87677597561
4/1 1:45;-65.038473001629;4.0711223163522
4/1 2:0;-64.680832559075;12.167343787621
4/1 2:15;-63.980696156062;19.985179289054
4/1 2:30;-62.965654376525;27.386892624166
4/1 2:45;-61.670972737708;34.288991964188
